Validaciones por Estacion por Tipo de Día;;;
Category;Día habil;Sabado;Domingo
Naranjal;37945052.00;6021264.00;2445258.00
Izaguirre;4567924.00;716288.00;291963.00
Pacifico;666754.00;134507.00;61864.00
Independencia;2505732.00;387070.00;160904.00
Los jazmines;802623.00;156474.00;75929.00
Tomas Valle;6506039.00;1141084.00;601242.00
El Milagro;1049772.00;179117.00;86654.00
Honorio Delgado;1156136.00;179878.00;72782.00
Uni;4211442.00;638814.00;273295.00
Parque del Trabajo;761016.00;132812.00;66022.00
Caqueta;2186881.00;403570.00;222730.00
Ramon Castilla;2814082.00;457295.00;199208.00
Tacna;2236910.00;400285.00;188564.00
Jiron de la Union;4469715.00;726284.00;324042.00
Colmena;3122420.00;555732.00;197816.00
2 de Mayo;2140791.00;339817.00;119766.00
Quilca;1524947.00;233975.00;112868.00
España;5822798.00;890631.00;342502.00
Estacion Central;9652193.00;1753318.00;705262.00
Estadio Nacional;3039622.00;528134.00;295079.00
México;2877806.00;509113.00;224940.00
Canadá;5624996.00;858508.00;409910.00
Javier Prado;7180348.00;972573.00;361372.00
Canaval y Moreyra;7299136.00;648490.00;205811.00
Aramburu;2898693.00;279223.00;120188.00
Domingo Orué;1275696.00;180916.00;83449.00
Angamos;8637515.00;1430830.00;538729.00
Ricardo Palma;4197433.00;679267.00;357626.00
Benavides;4777011.00;653562.00;279468.00
28 de Julio;1703143.00;258918.00;134315.00
Plaza de Flores;2744493.00;437806.00;158349.00
Balta;2165655.00;393167.00;244656.00
Bulevar;1768230.00;426575.00;359155.00
Estadio Union;1244653.00;201162.00;129671.00
Escuela Militar;695944.00;102356.00;89125.00
Terán;1340607.00;260259.00;161295.00
Rosario de Villa;1471785.00;287812.00;169754.00
Matellini;13077756.00;2246310.00;1135553.00
