Periodo;Semana;[object Object];;;;
2018;SEMANA 01;3791731;;;;
2018;SEMANA 02;4042639;;;;
2018;SEMANA 03;4107401;;;;
2018;SEMANA 04;4205939;;;;
2018;SEMANA 05;4121985;;;;
2018;SEMANA 06;4108076;;;;
2018;SEMANA 07;4056491;;;;
2018;SEMANA 08;4066133;;;;
2018;SEMANA 09;4106099;;;;
2018;SEMANA 10;4153449;;;;
2018;SEMANA 11;4146925;;;;
2018;SEMANA 12;4210382;;;;
2018;SEMANA 13;3218356;;;;
2018;SEMANA 14;4278872;;;;
2018;SEMANA 15;3854119;;;;
2018;SEMANA 16;4349504;;;;
2018;SEMANA 17;4347742;;;;
2018;SEMANA 18;3812331;;;;
2018;SEMANA 19;4272018;;;;
2018;SEMANA 20;4223261;;;;
2018;SEMANA 21;4288498;;;;
2018;SEMANA 22;4286941;;;;
2018;SEMANA 23;4266804;;;;
2018;SEMANA 24;4204000;;;;
2018;SEMANA 25;4190545;;;;
2018;SEMANA 26;3771532;;;;
2018;SEMANA 27;4183994;;;;
2018;SEMANA 28;4208629;;;;
2018;SEMANA 29;4209280;;;;
2018;SEMANA 30;3787741;;;;
2018;SEMANA 31;4088170;;;;
2018;SEMANA 32;4222448;;;;
2018;SEMANA 33;4336976;;;;
2018;SEMANA 34;4437689;;;;
2018;SEMANA 35;3827871;;;;
2018;SEMANA 36;4386949;;;;
2018;SEMANA 37;4337442;;;;
2018;SEMANA 38;4323233;;;;
2018;SEMANA 39;4308057;;;;
2018;SEMANA 40;4294493;;;;
2018;SEMANA 41;3891518;;;;
2018;SEMANA 42;4329888;;;;
2018;SEMANA 43;4323793;;;;
2018;SEMANA 44;3709492;;;;
2018;SEMANA 45;4215048;;;;
2018;SEMANA 46;4294636;;;;
2018;SEMANA 47;4303748;;;;
2018;SEMANA 48;4316754;;;;
2018;SEMANA 49;4173510;;;;
2018;SEMANA 50;4367948;;;;
2018;SEMANA 51;4348362;;;;
2018;SEMANA 52;3310622;;;;
2019;SEMANA 01;2546789;;;;
2019;SEMANA 02;4048338;;;;
2019;SEMANA 03;4096652;;;;
2019;SEMANA 04;4102667;;;;
2019;SEMANA 05;4099429;;;;
2019;SEMANA 06;4083899;;;;
2019;SEMANA 07;4081869;;;;
2019;SEMANA 08;4060979;;;;
2019;SEMANA 09;4078118;;;;
2019;SEMANA 10;4098868;;;;
2019;SEMANA 11;4084546;;;;
2019;SEMANA 12;4173953;;;;
2019;SEMANA 13;4209001;;;;
2019;SEMANA 14;4234640;;;;
2019;SEMANA 15;4252601;;;;
2019;SEMANA 16;3206663;;;;
2019;SEMANA 17;4236614;;;;
2019;SEMANA 18;3786721;;;;
2019;SEMANA 19;4254046;;;;
2019;SEMANA 20;4195648;;;;
2019;SEMANA 21;4250137;;;;
2019;SEMANA 22;4216147;;;;
2019;SEMANA 23;4264073;;;;
2019;SEMANA 24;4245973;;;;
2019;SEMANA 25;4165828;;;;
2019;SEMANA 26;4057709;;;;
2019;SEMANA 27;4168006;;;;
2019;SEMANA 28;4165863;;;;
2019;SEMANA 29;4195632;;;;
2019;SEMANA 30;4003074;;;;
2019;SEMANA 31;3501955;;;;
2019;SEMANA 32;4165654;;;;
2019;SEMANA 33;4224407;;;;
2019;SEMANA 34;4298058;;;;
2019;SEMANA 35;3815588;;;;
2019;SEMANA 36;4360123;;;;
2019;SEMANA 37;4332704;;;;
2019;SEMANA 38;4311468;;;;
2019;SEMANA 39;4326992;;;;
2019;SEMANA 40;4187281;;;;
2019;SEMANA 41;3734854;;;;
2019;SEMANA 42;4175611;;;;
2019;SEMANA 43;4181217;;;;
2019;SEMANA 44;3614676;;;;
2019;SEMANA 45;4176599;;;;
2019;SEMANA 46;4195872;;;;
2019;SEMANA 47;4211808;;;;
2019;SEMANA 48;4209900;;;;
2019;SEMANA 49;4223734;;;;
2019;SEMANA 50;4208364;;;;
2019;SEMANA 51;4253488;;;;
2019;SEMANA 52;3337890;;;;
2022;SEMANA 01;2206523;;;;
2022;SEMANA 02;2069111;;;;
2022;SEMANA 03;2042256;;;;
2022;SEMANA 04;2197424;;;;
2022;SEMANA 05;2366105;;;;
2022;SEMANA 06;2458157;;;;
2022;SEMANA 07;2513880;;;;
2022;SEMANA 08;2554732;;;;
2022;SEMANA 09;2635924;;;;
2022;SEMANA 10;2267724;;;;
2022;SEMANA 11;2647268;;;;
2022;SEMANA 12;2693386;;;;
2022;SEMANA 13;2738828;;;;
2022;SEMANA 14;2273619;;;;
2022;SEMANA 15;2321979;;;;
2022;SEMANA 16;2912242;;;;
2022;SEMANA 17;2969244;;;;
2022;SEMANA 18;2980069;;;;
2022;SEMANA 19;2983916;;;;
2022;SEMANA 20;3051916;;;;
2022;SEMANA 21;3070525;;;;
2022;SEMANA 22;3112629;;;;
2022;SEMANA 23;3128842;;;;
2022;SEMANA 24;3003999;;;;
2022;SEMANA 25;3062071;;;;
2022;SEMANA 26;2802599;;;;
2022;SEMANA 27;2955412;;;;
2022;SEMANA 28;3029433;;;;
2022;SEMANA 29;2829768;;;;
2022;SEMANA 30;2179887;;;;
2022;SEMANA 31;2688926;;;;
2022;SEMANA 32;2810275;;;;
2022;SEMANA 33;2917357;;;;
2022;SEMANA 34;2931260;;;;
2022;SEMANA 35;2640318;;;;
2022;SEMANA 36;2987921;;;;
2022;SEMANA 37;3017010;;;;
2022;SEMANA 38;3033318;;;;
2022;SEMANA 39;3040511;;;;
2022;SEMANA 40;2901255;;;;
2022;SEMANA 41;3042909;;;;
2022;SEMANA 42;3112075;;;;
2022;SEMANA 43;3115624;;;;
2022;SEMANA 44;2731741;;;;
2022;SEMANA 45;3060894;;;;
2022;SEMANA 46;3071437;;;;
2022;SEMANA 47;2973572;;;;
2022;SEMANA 48;2985473;;;;
2022;SEMANA 49;2440130;;;;
2022;SEMANA 50;2645140;;;;
2022;SEMANA 51;2752359;;;;
2022;SEMANA 52;2381651;;;;
2023;SEMANA 01;2678738;;;;
2023;SEMANA 02;2853520;;;;
2023;SEMANA 03;2497711;;;;
2023;SEMANA 04;2658221;;;;
2023;SEMANA 05;2763685;;;;
2023;SEMANA 06;2857024;;;;
2023;SEMANA 07;2883401;;;;
2023;SEMANA 08;2878996;;;;
2023;SEMANA 09;2962446;;;;
2023;SEMANA 10;2967230;;;;
2023;SEMANA 11;2866634;;;;
2023;SEMANA 12;3045242;;;;
2023;SEMANA 13;3178134;;;;
2023;SEMANA 14;2470600;;;;
2023;SEMANA 15;3188184;;;;
2023;SEMANA 16;3206041;;;;
2023;SEMANA 17;3181864;;;;
2023;SEMANA 18;2878324;;;;
2023;SEMANA 19;3166959;;;;
2023;SEMANA 20;3194400;;;;
2023;SEMANA 21;3221250;;;;
2023;SEMANA 22;3249566;;;;
2023;SEMANA 23;2870829;;;;
2023;SEMANA 24;3222459;;;;
2023;SEMANA 25;3222918;;;;
2023;SEMANA 26;2867899;;;;
2023;SEMANA 27;3210827;;;;
2023;SEMANA 28;3203755;;;;
2023;SEMANA 29;2948313;;;;
2023;SEMANA 30;2534051;;;;
2023;SEMANA 31;3048657;;;;
2023;SEMANA 32;3085312;;;;
2023;SEMANA 33;3227002;;;;
2023;SEMANA 34;3311800;;;;
2023;SEMANA 35;3025496;;;;
2023;SEMANA 36;3345557;;;;
2023;SEMANA 37;3363336;;;;
2023;SEMANA 38;3335603;;;;
2023;SEMANA 39;3350576;;;;
2023;SEMANA 40;3307821;;;;
2023;SEMANA 41;3278861;;;;
2023;SEMANA 42;3413701;;;;
2023;SEMANA 43;3387144;;;;
2023;SEMANA 44;3022888;;;;
2023;SEMANA 45;3352528;;;;
2023;SEMANA 46;3384403;;;;
2023;SEMANA 47;3399129;;;;
2023;SEMANA 48;2195168;;;;
2023;SEMANA 49;0;;;;
2023;SEMANA 50;0;;;;
2023;SEMANA 51;0;;;;
2023;SEMANA 52;0;;;;
